Name,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Terai),KG,Rs 18.00,Rs 25.00,Rs 21.00
Potato Red(Indian),KG,Rs 28.00,Rs 32.00,Rs 30.00
Carrot(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage(Local),KG,Rs 10.00,Rs 15.00,Rs 12.33
Cabbage,KG,Rs 8.00,Rs 15.00,Rs 11.25
Cauli Local(Jyapu),KG,Rs 15.00,Rs 20.00,Rs 17.67
Raddish Red,KG,Rs 20.00,Rs 30.00,Rs 25.00
Raddish White(Hybrid),KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Local),KG,Rs 35.00,Rs 45.00,Rs 40.00
French Bean(Rajma),KG,Rs 100.00,Rs 110.00,Rs 105.00
Bitter Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Smooth Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Squash(Long),KG,Rs 10.00,Rs 15.00,Rs 12.33
Okara,KG,Rs 90.00,Rs 100.00,Rs 95.00
Barela,KG,Rs 20.00,Rs 30.00,Rs 26.00
Christophine,KG,Rs 30.00,Rs 40.00,Rs 35.00
Spinach Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Mustard Leaf,KG,Rs 20.00,Rs 25.00,Rs 22.33
Onion Green,KG,Rs 20.00,Rs 30.00,Rs 25.00
Yam,KG,Rs 70.00,Rs 80.00,Rs 75.00
Mushroom(Button),KG,Rs 350.00,Rs 400.00,Rs 375.00
Sugarbeet,KG,Rs 50.00,Rs 60.00,Rs 55.00
Lettuce,KG,Rs 60.00,Rs 70.00,Rs 65.00
Celery,KG,Rs 300.00,Rs 400.00,Rs 350.00
Fennel Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 280.00,Rs 300.00,Rs 290.00
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 276.67
Lime,KG,Rs 150.00,Rs 160.00,Rs 155.00
Grapes(Green),KG,Rs 190.00,Rs 230.00,Rs 210.00
Orange(Nepali),KG,Rs 150.00,Rs 160.00,Rs 155.00
Water Melon(Green),KG,Rs 40.00,Rs 50.00,Rs 45.00
Mandarin,KG,Rs 100.00,Rs 110.00,Rs 105.00
Cucumber(Local),KG,Rs 120.00,Rs 140.00,Rs 130.00
Jack Fruit,KG,Rs 100.00,Rs 110.00,Rs 105.00
Papaya(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Guava,KG,Rs 100.00,Rs 120.00,Rs 110.00
Strawberry,KG,Rs 380.00,Rs 430.00,Rs 403.33
Ginger,KG,Rs 110.00,Rs 120.00,Rs 115.00
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),KG,Rs 40.00,Rs 50.00,Rs 45.00
Garlic Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Garlic Dry Chinese,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 330.00,Rs 350.00,Rs 340.00
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 260.00,Rs 250.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 55.00
Potato Red,KG,Rs 32.00,Rs 35.00,Rs 33.33
Onion Dry (Indian),KG,Rs 78.00,Rs 80.00,Rs 79.00
Carrot(Terai),KG,Rs 20.00,Rs 30.00,Rs 25.00
Cabbage(Terai),KG,Rs 8.00,Rs 15.00,Rs 11.25
Cauli Local,KG,Rs 10.00,Rs 15.00,Rs 12.33
Cauli Terai,KG,Rs 10.00,Rs 15.00,Rs 12.33
Raddish White(Local),KG,Rs 20.00,Rs 25.00,Rs 22.33
Brinjal Long,KG,Rs 20.00,Rs 30.00,Rs 25.00
Green Peas,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Hybrid),KG,Rs 35.00,Rs 45.00,Rs 40.00
Sword Bean,KG,Rs 30.00,Rs 40.00,Rs 35.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pumpkin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),KG,Rs 10.00,Rs 15.00,Rs 12.33
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brd Leaf Mustard,KG,Rs 10.00,Rs 15.00,Rs 12.33
Cress Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fenugreek Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bakula,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mushroom(Kanya),KG,Rs 100.00,Rs 120.00,Rs 110.00
Brocauli,KG,Rs 20.00,Rs 30.00,Rs 25.00
Red Cabbbage,KG,Rs 50.00,Rs 60.00,Rs 55.00
Knolkhol,KG,Rs 60.00,Rs 70.00,Rs 65.00
Parseley,KG,Rs 600.00,Rs 700.00,Rs 650.00
Mint,KG,Rs 300.00,Rs 400.00,Rs 350.00
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 155.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 220.00,Rs 240.00,Rs 230.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Pomegranate,KG,Rs 300.00,Rs 350.00,Rs 325.00
Grapes(Black),KG,Rs 280.00,Rs 330.00,Rs 303.33
Orange(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Sweet Orange,KG,Rs 140.00,Rs 150.00,Rs 145.00
Pineapple,1 Pc,Rs 150.00,Rs 200.00,Rs 175.00
Cucumber(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mombin,KG,Rs 50.00,Rs 60.00,Rs 55.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Chilli Dry,KG,Rs 380.00,Rs 400.00,Rs 390.00
Chilli Green(Bullet),KG,Rs 80.00,Rs 90.00,Rs 85.00
Capsicum,KG,Rs 55.00,Rs 65.00,Rs 60.00
Coriander Green,KG,Rs 40.00,Rs 50.00,Rs 45.00
Garlic Dry Nepali,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,KG,Rs 200.00,Rs 250.00,Rs 226.67
Fish Fresh(Bachuwa),KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),KG,Rs 400.00,Rs 450.00,Rs 426.67
Lentinula Edodes,Kg,Rs 700.00,Rs 800.00,Rs 750.00
